	GATA2_lev	PGR_lev	SOX17_lev	GATA2_act_FC12_P01	GATA2_act_FC13_P01	GATA2_act_FC15_P01	GATA2_act_FC15_P005	GATA2_act_FC15_P001	PRG_act_FC12_P05	PRG_act_FC13_P05	PRG_act_FC12_P01	PRG_act_FC13_P01	P4_act_FC12_P01	P4_act_FC13_P01	P4_act_FC15_P01	P4_act_FC15_P005	P4_act_FC15_P001	Case-I	Case-II	Case-III
GSM1402321	-0.011	-0.451	-0.137	-3.497	-3.153	-2.22	-2.951	-2.543	-0.058	0.051	0.165	0.002	-0.54	-0.088	-0.776	-0.869	-0.443	-2.5673105	-1.658453609	-1.685608062
GSM1402322	0.203	0.486	0.568	2.393	2.228	2.562	2.056	0.733	2.353	1.909	1.429	1.209	1.603	1.459	1.257	1.439	0.251	1.676627217	1.269514347	2.031929092
GSM1402323	0.166	0.403	0.438	5.845	5.65	5.844	4.434	2.203	2.857	2.026	1.007	0.55	6.645	5.986	5.156	4.584	2.753	3.191198847	1.948590298	4.263000447
GSM1402324	0.724	0.453	0.298	3.283	3.205	4.065	3.268	1.932	2.93	2.017	1.506	0.985	6.08	5.504	4.757	4.479	4.038	3.159305631	1.922404398	3.84824371
GSM1402325	0.157	0.277	0.87	5.06	4.896	5.324	3.643	1.446	3.832	3.473	2.51	2.051	5.903	5.413	4.288	4.141	1.979	2.571715336	1.355220187	4.152395029
GSM1402326	-0.306	0.054	-1.238	2.895	2.036	0.559	1.778	1.555	-3.016	-2.754	-2.467	-1.982	1.884	1.605	1.21	1.268	1.571	0.852528378	2.34079498	-0.145392667
GSM1402327	0.068	0.122	-0.253	6.189	5.19	3.794	4.679	3.508	1.094	1.154	-0.131	0.373	5.011	4.174	4.683	4.525	3.298	1.722857447	5.74788287	2.167032666
GSM1402328	-0.121	-0.301	-0.304	-14.081	-12.956	-10.108	-9.483	-5.51	-1.136	-0.87	-0.33	-0.169	-14.258	-13.108	-10.905	-9.488	-5.82	-8.532726009	-7.003979987	-8.7211566
GSM1402329	-0.158	-0.068	-0.406	-2.147	-2.862	-3.197	-2.039	-0.358	-2.953	-2.461	-2.214	-1.379	-6.957	-6.414	-5.076	-4.499	-2.965	-2.937460706	1.213191146	-3.598004891
GSM1402330	-0.374	-0.619	-1.151	-0.373	-0.342	-1.317	-1.286	-1.413	-1.755	-1.588	-0.737	-0.641	-0.087	0.217	-0.16	-0.278	-1	-0.735609204	-0.996067472	-1.301995834
GSM1402331	-0.337	-0.073	-1.263	-3.867	-3.807	-3.976	-3.506	-2.522	-2.961	-2.689	-1.711	-1.718	-4.345	-3.738	-3.818	-3.275	-2.174	-2.292149134	-1.486822968	-3.091938344
GSM1402332	-0.275	-0.53	-0.914	-1.272	-1.218	-2.393	-2.124	-2.522	-1.515	-1.675	-0.729	-0.671	-1.404	-0.946	-1.235	-1.791	-1.564	-1.21165086	-2.488069586	-1.393665332
GSM1402333	-0.225	-0.342	-0.852	-0.566	-0.645	-1.219	-0.934	-1.235	-2.552	-2.367	-1.359	-1.265	-1.806	-1.497	-1.716	-1.311	-0.906	-1.230567561	0.475894836	-1.907731271
GSM1402334	0.202	0.769	0.722	6.838	7.045	6.572	5.942	2.85	3.004	2.234	1.894	1.301	7.511	6.682	5.49	5.257	3.559	4.362958737	2.544754793	5.778580269
GSM1402335	-0.455	-0.375	-1.391	-1.609	-1.47	-2.116	-1.648	-2.316	-3.056	-2.749	-2.334	-2.102	-1.53	-1.228	-1.396	-1.53	-1.566	-1.388936505	-2.060689743	-1.897824455
GSM1402336	-0.032	-0.022	0.088	2.551	3.132	3.384	2.463	0.672	1.747	1.608	0.559	0.47	6.542	6.456	5.751	5.215	2.315	1.080686371	-0.675213166	2.387801862
GSM1402337	0.771	0.856	0.471	6.612	6.319	4.779	4.591	2.731	-1.972	-1.249	-1.935	-1.202	4.016	3.47	3.764	3.79	2.261	4.992518427	3.279661705	5.170920029
GSM1402338	0.382	-0.134	0.384	-4.634	-4.739	-4.509	-2.795	-0.748	-2.439	-2.387	-0.787	-0.731	-4.062	-3.793	-3.409	-3.155	-2.107	-2.799565411	-0.120645783	-3.352497664
GSM1402339	-0.429	-0.426	-1.018	0.287	0.21	-0.696	-0.922	-2.024	-1.042	-0.946	-0.606	-0.503	0.106	0.488	-0.279	-0.553	-0.095	-0.706415058	-0.320349273	-0.806922793
GSM1402340	0.17	0	0.2	0.482	0.943	1.815	1	-0.065	2.54	1.865	0.589	-0.006	2.903	2.976	2.469	2.029	0.232	0.300446457	-1.102898379	1.832235902
GSM1402341	0.108	0.12	0	-4.371	-4.301	-3.083	-3.787	-3.694	0.335	0.019	-0.241	-0.102	-5.246	-5.428	-4.832	-3.918	-3.813	-2.33768701	-2.666579993	-2.622499241
GSM1402342	0.532	0.694	0.534	7.228	6.95	6.206	5.622	3.545	3.886	3.103	2.722	2.269	8.136	7.313	5.847	5.652	4.319	4.787478453	2.466846464	5.929318841
GSM1402343	-0.349	-0.109	-1.294	-2.217	-2.096	-2.504	-2.162	-1.526	-2.868	-2.471	-1.715	-1.595	-2.261	-1.874	-2.194	-2.038	-1.269	-0.938456205	-1.00611232	-1.881737934
GSM1402344	0.175	-0.001	0.639	-0.087	0.134	1.061	0.328	0.28	3.42	2.514	2.332	1.849	0.45	0.434	0.65	0.36	-1.395	0.078931139	-0.79708565	1.234777518
GSM1402345	0.254	0.087	0.372	2.839	2.341	2.875	1.975	1.199	0.292	0.14	-0.512	-0.564	2.041	2.004	2.269	1.621	1.308	1.062087929	1.810405315	1.846093015
GSM1402346	-0.126	-0.107	-0.65	1.334	1.14	-0.516	-0.239	-0.783	-0.619	-0.058	0.09	-0.038	0.295	-0.051	-0.599	-0.966	-1.742	-0.69709748	-0.300242852	-0.124539004
GSM1402347	0.014	0.226	-0.028	0.249	0.434	0.578	0.032	-0.053	1.126	0.723	0.812	0.605	0.808	0.794	0.252	-0.665	-1.695	-0.330337347	0.602400034	0.988332431
GSM1402348	-0.226	-0.228	-1.329	-4.157	-3.847	-3.578	-2.959	-1.865	-2.585	-2.545	-1.315	-1.42	-3.34	-2.851	-2.712	-2.771	-1.481	-2.098878321	-2.012101044	-2.701074126
GSM1402349	0.113	-0.07	0.667	-0.868	-0.526	0.12	-0.996	-1.905	1.317	1.383	1.077	0.695	-1.49	-1.498	-1.668	-2.228	-3.066	-1.012264606	-0.894905561	0.260799018
GSM1402350	-0.233	-0.474	-0.796	-0.751	-1.052	-2.185	-1.842	-1.072	-2.858	-2.858	-1.668	-1.518	-1.052	-1.221	-1.105	-1.033	-0.946	-0.997095257	-0.7061653	-1.33788272
GSM1402351	-0.128	-0.067	-0.658	-3.643	-3.959	-4.204	-2.589	-0.808	-3.195	-3.109	-1.551	-1.251	-7.203	-6.512	-4.773	-3.942	-3.008	-2.3848359	1.715142984	-4.067737871
GSM1402352	-0.079	-0.331	-0.722	-3.517	-3.167	-3.712	-3.493	-2.005	-2.066	-1.954	-1.63	-1.519	-3.369	-3.054	-2.523	-2.289	-1.251	-2.19457545	-0.846254571	-3.041924139
GSM1402353	-0.052	-0.07	-0.261	-4.245	-4.065	-4.895	-4.445	-2.992	-2.221	-2.085	-1.367	-1.36	-6.909	-7.121	-6.45	-6.004	-4.668	-2.627223733	-1.047298613	-2.959075547
GSM1402354	0.262	-0.028	0.041	-3.282	-2.949	-2.091	-1.79	-0.721	2.177	1.546	1.69	1.72	-4.552	-4.193	-3.41	-2.824	-2.205	-1.015884862	0.591248223	-1.041254093
GSM1402355	0.159	2.27	0.257	3.437	3.075	2.018	1.912	2.029	-3.269	-3.163	-2.96	-2.758	0.915	0.701	1.935	1.254	0.787	2.601549113	1.606091847	1.583412862
GSM1402356	-0.195	-0.315	-0.443	1.745	1.669	1.289	0.573	-0.519	0.883	1.103	0.886	1.226	2.621	2.796	1.79	1.638	0.487	-0.959964678	0.320762398	0.031791345
GSM1402357	-0.218	-0.116	-0.155	-4.231	-4.269	-3.963	-2.683	-0.581	-1.61	-1.081	-1.792	-1.306	-6.471	-6.166	-4.842	-3.533	-1.993	-2.497324	0.825832665	-3.332965767
GSM1402358	0.239	0.183	0.031	-2.491	-3.219	-2.264	-1.651	-0.31	-3.339	-3.303	-3.841	-4.016	-5.307	-4.991	-3.541	-2.823	-0.696	-1.296258675	1.836900473	-2.079299838
GSM1402359	0.685	0.494	0.414	7.401	7.047	6.143	5.549	3.295	1.54	1.379	0.668	0.663	8.326	7.771	6.399	5.933	4.107	5.17451379	4.073015201	5.994126617
GSM1402360	-0.062	-0.064	-0.974	0.144	0.04	-0.431	0.532	-0.308	-1.866	-1.33	-1.299	-1.221	2.617	2.41	2.042	1.7	0.624	-0.301875925	0.415717616	-0.844530514
GSM1402361	0.274	0.342	0.384	3.48	3.398	4.314	3.747	2.804	4.239	3.617	2.845	2.292	5.13	4.593	4.251	4.12	2.775	2.248867538	2.210677877	3.424436724
GSM1402362	-0.339	-0.267	-1.222	1.409	1.37	0.205	0.237	-0.367	-1.773	-1.666	-1.421	-1.333	2.804	2.422	1.732	1.115	1.053	-0.284561369	-0.918544511	-0.253479201
GSM1402363	0.27	0.24	-0.001	-1.29	-1.273	-2.028	-0.773	-0.284	-2.121	-1.885	-0.969	-1.144	-1.36	-1.06	-0.809	-0.77	-2.02	0.175232262	0.825873822	0.107595057
GSM1402364	-0.041	-0.089	-0.595	-3.214	-3.637	-3.674	-2.69	-1.563	-2.816	-2.767	-1.652	-1.629	-2.485	-2.148	-2.136	-1.921	-1.215	-2.022886833	-0.634068063	-2.914078957
GSM1402365	0.429	0.022	0.586	0.023	0.14	1.695	1.121	0.503	3.137	2.841	2.115	1.803	2.229	1.903	1.712	1.733	1.392	0.611546769	0.698227838	1.750101736
GSM1402366	0.091	0.929	0.198	1.046	0.986	1.498	1.493	2.392	0.082	0.436	0.126	0.217	-1.762	-1.421	-0.317	0.42	-0.796	1.301303411	3.550857882	0.809085324
GSM1402367	0.283	0.535	0.496	5.395	5.185	4.63	3.709	2.196	2.534	1.978	1.244	0.828	5.078	4.553	3.983	3.946	1.829	3.207138963	2.1622078	4.062595025
GSM1402368	0.381	0.641	0.601	3.675	3.317	3.343	3.331	2.494	1.708	1.383	1.261	1.214	1.94	1.555	2.096	2.326	1.355	2.773093706	4.517580508	3.106099493
GSM1402369	-0.159	0.047	-0.708	-1.713	-1.919	-2.656	-1.964	-0.267	-1.676	-1.693	-1.938	-1.665	-3.016	-3.019	-2.595	-2.157	-2.855	-2.470454902	0.063352923	-3.248291016
GSM1402370	0.462	0.284	0.567	-0.51	-0.606	0.386	0.244	0.39	1.499	1.547	1.324	1.099	-0.417	-0.621	0.184	0.348	0.369	0.862662262	1.005209183	0.775643798
GSM1402371	0	-0.163	0.702	3.408	3.564	3.616	2.171	1	3.191	2.488	2.146	1.54	4.587	4.143	2.922	2.448	1.886	1.597862329	0.641961953	3.504463314
GSM1402372	-0.275	-0.573	-0.799	-1.425	-1.344	-1.884	-1.81	-1.603	-1.387	-1.193	-0.527	-0.315	-0.53	-0.192	-0.457	-0.544	-1.123	-1.827267092	-3.013043803	-1.783119403
GSM1402373	-0.27	-0.413	-0.885	-0.792	-0.751	-2.196	-2.163	-2.118	-1.37	-1.077	-0.554	-0.436	-2.195	-1.919	-2.182	-2.417	-1.987	-1.736690477	-1.207780129	-1.634328877
GSM1402374	0.108	-0.086	-0.483	-4.73	-4.492	-3.26	-3.744	-2.275	-2.275	-1.395	-1.196	-1.136	-0.638	-0.26	-0.361	-0.995	-1.731	-3.07057166	-2.790391346	-2.614545126
GSM1402375	-0.079	-0.115	0.115	-4.014	-3.564	-4.161	-4.639	-3.183	1.268	0.912	0.234	0.174	-4.931	-4.605	-4.307	-4.512	-3.983	-3.692465976	-1.86390953	-2.625217023
GSM1402376	-0.216	-0.234	-0.559	-7.13	-7.239	-7.001	-6.367	-3.383	-3.272	-3.155	-2.605	-2.125	-10.16	-9.518	-7.507	-7.196	-5.423	-4.900238974	-2.565969895	-5.515980931
GSM1402377	0.02	-0.163	0.421	-2.531	-2.1	-1.043	-2.139	-0.238	1.787	2.033	1.523	1.396	-1.301	-0.959	-1.312	-0.982	-0.966	-0.367659971	-1.079794043	0.426841973
