	GATA2_lev	PGR_lev	SOX17_lev	GATA2_act_FC12_P01	GATA2_act_FC13_P01	GATA2_act_FC15_P01	GATA2_act_FC15_P005	GATA2_act_FC15_P001	PRG_act_FC12_P05	PRG_act_FC13_P05	PRG_act_FC12_P01	PRG_act_FC13_P01	P4_act_FC12_P01	P4_act_FC13_P01	P4_act_FC15_P01	P4_act_FC15_P005	P4_act_FC15_P001	Case-I	Case-II	Case-III
GSM1402378	-0.02	2.423	0.59	1.131	1.062	0.493	0.273	0.778	-4.388	-3.863	-3.426	-3.166	-1.809	-1.719	-0.087	-0.531	-0.543	1.652494624	-0.085935316	0.5093286
GSM1402379	0.285	0.466	0.593	5.631	5.169	5.677	5.061	3.188	3.856	3.018	2.224	1.799	5.565	4.859	4.552	4.445	3.512	3.526388283	3.863386414	3.935622151
GSM1402380	0.207	0.086	0.087	1.607	1.186	1.043	1.891	1.871	2.186	1.622	0.651	0.664	-0.963	-1.223	-0.362	0.399	-0.087	0.338357376	4.291364994	1.08410574
GSM1402381	-0.203	-0.18	-0.57	-2.887	-3.238	-3.586	-2.415	-1.003	-1.393	-0.739	-0.074	0.31	-2.507	-2.245	-2.013	-1.615	-0.048	-2.0979097	0.224509785	-3.240773385
GSM1402382	0.36	0.56	0.414	6.331	5.912	5.455	4.743	2.841	3.245	2.587	1.544	1.233	5.573	4.982	4.292	4.085	3.039	3.456856409	3.403760682	4.341807896
GSM1402383	-0.371	0.024	-1.084	-2.779	-2.96	-2.417	-1.285	0.277	-2.631	-2.048	-1.626	-1.582	-1.445	-0.515	-0.434	-0.556	0.927	-1.121767902	-0.884124419	-2.699199986
GSM1402384	0.05	0.306	0.651	4.121	3.748	4.152	3.153	1.915	2.508	2.197	1.781	1.494	4.021	3.43	2.639	2.257	1.758	2.529254565	1.343905093	3.59327552
GSM1402385	-0.189	-0.386	-1.183	1.07	1.077	0.19	0.23	-1.393	-0.555	-0.317	-0.259	-0.297	2.904	2.994	1.79	1.549	0.577	0.142875826	-1.523085917	-0.020776106
GSM1402386	-0.176	1.621	0.309	3.53	3.346	2.11	2.014	1.726	-3.267	-2.496	-2.81	-2.142	0.431	0.283	1.325	1.115	1.285	3.216274945	2.584151388	2.137257744
GSM1402387	-0.152	-0.272	-0.676	1.658	1.61	0.194	0.098	-0.695	0.067	0.361	-0.68	-0.246	0.936	0.766	0.566	0.108	-0.467	-1.137930599	1.293098343	-0.630861882
GSM1402388	-0.016	-0.284	-0.333	-5.741	-5.853	-6.376	-5.874	-3.845	-2.641	-1.662	-0.537	0.099	-8.921	-8.987	-7.002	-6.425	-6.709	-3.6064384	-3.058333397	-4.317139819
GSM1402389	-0.136	-0.349	-0.271	-0.862	-1.157	-1.77	-2.202	-1.942	-3.155	-3.311	-1.9	-2.007	-0.192	-0.089	-0.074	0.073	0.178	-1.961432006	-2.273220706	-1.500702151
GSM1402390	0.522	0.378	0.803	4.39	4.513	4.551	3.115	1.338	2.446	1.861	1.479	1.025	5.054	4.546	3.544	3.188	1.604	2.920097535	0.972549874	4.209152695
GSM1402391	-0.201	-0.246	-0.202	-0.066	-0.126	-0.169	-0.395	-0.128	1.089	0.62	-0.635	-0.661	-0.783	-0.815	-0.767	-0.748	-0.575	-2.088433812	0.09127972	-1.328702616
GSM1402392	0.666	0.748	0.673	6.955	6.656	5.396	4.906	2.596	1.064	1.161	1.142	0.994	5.131	4.38	3.77	3.436	2.149	5.238569093	3.522676005	5.852192001
GSM1402393	-0.042	0.571	0.478	3.828	3.253	3.666	3.308	2.817	1.248	1.182	1.489	1.266	1.588	1.962	1.476	1.861	1.626	2.374763212	3.419374962	3.305596652
GSM1402394	0.327	0.169	0.268	-0.76	-1.099	-0.179	1.184	2.504	0.355	0.244	0.758	0.763	-0.592	-0.224	0.332	1.084	1.22	0.162619973	2.725318451	-0.767398056
GSM1402395	-0.095	-0.047	-0.193	-6.489	-6.931	-5.969	-5.88	-2.595	-3.929	-3	-2.651	-1.937	-6.251	-6.703	-5.843	-4.927	-2.485	-3.284176133	0.849400269	-5.166173637
GSM1402396	-0.084	-0.345	-0.511	-4.622	-4.52	-4.618	-3.737	-3.04	-0.871	-0.89	-0.318	-0.165	-4.054	-3.876	-3.256	-3.227	-2.441	-3.432692467	-2.541776447	-3.779769653
GSM1402397	-0.006	-0.15	-0.148	-8.955	-9.013	-6.703	-5.997	-2.604	-1.598	-1.315	-2.502	-2.337	-5.559	-4.832	-3.844	-3.921	-1.597	-4.502762373	-4.023558976	-5.507510513
GSM1402398	-0.018	0.172	0.331	-3.805	-4.014	-3.114	-2.398	-0.339	-0.228	0.159	0.764	1.155	-7.194	-6.612	-5.006	-4.285	-2.164	-1.753202328	0.417785631	-2.523648836
GSM1402399	-0.128	-0.077	-0.881	0.109	-0.468	-1.662	0	0.509	-3.284	-2.577	-2.718	-2.277	-0.883	-0.388	0.061	0.034	-1.185	-0.728825694	1.354855602	-1.281614864
GSM1402400	0.057	-0.362	0.177	-4.971	-5.185	-3.792	-3.474	-1.61	0.036	0.059	-0.59	-0.489	-2.171	-1.943	-1.728	-1.103	0.907	-3.522643946	-2.13169807	-2.601433667
GSM1402401	0.297	0.477	0.421	2.69	2.433	2.873	2.469	1.743	0.084	0.502	0.025	0.156	4.516	3.951	3.6	3.551	3.033	3.084098193	1.691348215	3.027050244
GSM1402402	-0.479	-0.026	-1.641	0.32	0.156	-0.999	-0.855	-0.912	-2.085	-1.402	-1.53	-1.394	0.288	0.175	-0.362	-0.346	-0.355	-0.722866697	-0.90733938	-1.30024406
GSM1402403	-0.439	0.598	-2.297	-2.979	-3.134	-2.369	-1.17	0.25	-3.323	-2.381	-2.34	-1.92	-0.765	0.091	-0.293	0.084	0.868	-1.180651872	-0.811865285	-2.846576963
GSM1402404	0.309	0.046	0.444	0.655	0.885	2.439	2.155	2.389	3.611	2.727	1.835	1.533	5.064	4.637	4.441	3.819	3.131	1.871624184	1.708704739	1.871736434
GSM1402405	0.151	0.129	0.382	3.801	3.731	3.888	3.162	2.069	3.11	2.704	2.357	2.036	5.699	4.671	3.644	3.565	2.99	3.318131224	1.192613345	3.952968979
