"Run","GSM1402321","GSM1402322","GSM1402323","GSM1402324","GSM1402325","GSM1402326","GSM1402327","GSM1402328","GSM1402329","GSM1402330","GSM1402331","GSM1402332","GSM1402333","GSM1402334","GSM1402335","GSM1402336","GSM1402337","GSM1402338","GSM1402339","GSM1402340","GSM1402341","GSM1402342","GSM1402343","GSM1402344","GSM1402345","GSM1402346","GSM1402347","GSM1402348","GSM1402349","GSM1402350","GSM1402351","GSM1402352","GSM1402353","GSM1402354","GSM1402355","GSM1402356","GSM1402357","GSM1402358","GSM1402359","GSM1402360","GSM1402361","GSM1402362","GSM1402363","GSM1402364","GSM1402365","GSM1402366","GSM1402367","GSM1402368","GSM1402369","GSM1402370","GSM1402371","GSM1402372","GSM1402373","GSM1402374","GSM1402375","GSM1402376","GSM1402377","GSM1402378","GSM1402379","GSM1402380","GSM1402381","GSM1402382","GSM1402383","GSM1402384","GSM1402385","GSM1402386","GSM1402387","GSM1402388","GSM1402389","GSM1402390","GSM1402391","GSM1402392","GSM1402393","GSM1402394","GSM1402395","GSM1402396","GSM1402397","GSM1402398","GSM1402399","GSM1402400","GSM1402401","GSM1402402","GSM1402403","GSM1402404","GSM1402405","GSM1402406","GSM1402407","GSM1402408","GSM1402409","GSM1402410","GSM1402411","GSM1402412","GSM1402413","GSM1402414","GSM1402415","GSM1402416","GSM1402417","GSM1402418","GSM1402419","GSM1402420","GSM1402421","GSM1402422","GSM1402423","GSM1402424","GSM1402425","GSM1402426","GSM1402427","GSM1402428","GSM1402429","GSM1402430","GSM1402431","GSM1402432","GSM1402433","GSM1402434","GSM1402435"
"Random_Index27_16_0001","-2.91435542180111","1.95412076026607","5.4600390103737","3.02587846814187","4.87338043387954","2.02815555689517","5.23140771556752","-12.8082939511719","-2.97356401754246","-0.148919058009702","-3.46726394536895","-0.920126734913846","-0.219118628283484","6.9667194798717","-1.35277141085745","3.2854404950991","6.1186226805847","-5.05267920890927","0.474781834063737","1.11910879720335","-4.42483309977014","6.81245770597069","-1.86454717756878","0.00451738054530124","2.14320818464309","1.23675419021971","0.341589975988958","-3.64482205158468","-0.472720581049061","-0.625662146379874","-3.89854960787653","-2.86630230190786","-4.0069310930984","-3.23387330422874","3.02991586024908","1.9880331811125","-4.48785541309288","-3.10730091529806","6.7889602227606","-0.0190673680502274","3.1383618022916","1.61158537852347","-1.26949118444267","-3.48916167992351","0.0554100551387891","0.911478999662912","5.08446572461446","3.04213471385433","-2.05728755868776","-0.841521382205659","3.49723783313339","-1.08800014750865","-0.499180220196077","-4.29539590391879","-3.43115066894782","-7.05981120656391","-1.96729924371304","1.12748711333017","4.87764305754277","1.02425206355651","-3.27250670576193","5.73229302943843","-2.77789272170732","3.61242144304445","1.25126855365238","3.30082548882451","1.76742033593113","-5.80765478832804","-0.954831711279617","4.34134968507575","0.0966171371101646","6.45879591826928","3.05889726398713","-1.09891596869778","-6.77375788235802","-4.36732110321756","-9.05273203023613","-4.18856591617774","-0.400737633724786","-5.30501859864988","2.26039113336937","0.308388871057315","-2.94724710727746","0.674709821466909","3.6328260175549","-6.55812139503487","-8.92808826337569","-0.576431422304656","3.28167797492988","-6.01024600255399","-1.32457952717064","5.43337605562338","-5.2661139224883","-2.32807482279159","1.52657664388285","-8.56782142095596","1.87022358021044","-0.322095848931064","-2.25713744662528","3.53131002246915","-5.03210579688231","2.84723937183662","2.72513333481605","0.798673066021633","-0.995491225505185","-7.52586773826817","4.55803830850058","0.367661346537236","0.726510877836935","-2.50529785470761","-1.71648443687875","6.10838587333093","-2.00694758088393","-9.59160963886016","0.812489316160239"
"Random_Index27_16_0002","-3.02766147519689","2.04986007480821","5.49226237892001","3.03794667094695","4.82830619884064","2.10439690268783","5.0891350048611","-12.9133488356966","-2.89268855993056","-0.00358140325899731","-3.56541532827143","-1.01526905969049","-0.398595739370757","6.78043038524435","-1.36553773894829","3.03435304285258","6.14165908727542","-4.82866980877678","0.379707485348472","0.909098094402265","-4.39201513201157","6.72208017834499","-1.99247738610826","-0.0107476204058634","2.30440504416172","1.17611519528351","0.295753576841545","-3.65477447861582","-0.557654736295053","-0.845664495198115","-3.83537900101666","-3.00503114594648","-4.10659402960543","-3.06894686969477","2.97769234949773","1.83015886976425","-4.227625543696","-3.17947133678538","6.75645652846148","0.017410065630754","3.19521147045602","1.47744389832287","-1.29250251081226","-3.4737297917023","0.1184293069133","0.852391759710973","5.06315107706719","3.17776983169591","-1.99004266765964","-0.58223896997714","3.55331314142963","-1.07950675187768","-0.592067288663975","-4.48818317632277","-3.56786828621478","-7.03938845045979","-2.01250561958301","1.11239031958295","4.98032458986993","1.03046853197026","-3.04498988929404","5.79578818924114","-2.70968344865283","3.68534073358789","1.15331332645615","3.24398356111939","1.70302068941316","-5.71982619970658","-0.875440000454813","4.33896632192413","-0.0746244767289124","6.45728749901779","3.16842064285215","-1.17518027565667","-6.78910593142115","-4.38403497625039","-8.96102779402697","-3.9323280741796","-0.34848058707115","-5.14992052853081","2.35789868922946","0.254583520761935","-2.88715218662601","0.719513658852847","3.61996226469274","-6.50026534228188","-9.04348112678102","-0.582266542222262","3.36767190721255","-6.02058689944793","-1.16460859075393","5.28191733501905","-5.0903226338824","-2.33393219625226","1.4188614319512","-8.5617978420766","1.75006766135331","-0.304848347604329","-2.39088204133602","3.38532834373727","-4.99662844057695","2.76960886668398","2.85496530641835","0.755995212484778","-0.973217180795921","-7.46005742330229","4.63953858860418","0.292597114659006","0.783875482651737","-2.46863099121197","-1.62694697301081","6.14942991013459","-1.9209661355045","-9.46229504946886","0.793825722475965"
"Random_Index27_16_0003","-3.02420784861101","1.90954465596033","5.39268351678568","2.89985582488194","4.84372955823124","2.23040865359821","5.30812260163184","-12.9842322322795","-2.83994605831874","0.00886145642431782","-3.47293869853816","-0.924804982961845","-0.169004126855008","6.82829622156847","-1.24020934294068","3.26547271142252","6.14074114354699","-4.96610658464689","0.515242213398334","0.987704948273332","-4.506425715361","6.68853623839802","-1.80261982462812","-0.0147361103373895","2.17633754426969","1.34225899244892","0.402785207310404","-3.51582600933544","-0.591705661087705","-0.700054813277733","-3.75374590994517","-2.8244133775395","-4.02963675939649","-3.26080545322982","2.99968881967146","2.02373484764781","-4.36857834363271","-3.31771672166674","6.78184368368652","0.160465599153429","3.10323525153672","1.67523732197982","-1.16622196963161","-3.4196239005711","-0.031602081742321","0.855237958626653","5.01493539279565","3.15743188450559","-2.01826649163345","-0.793469868318752","3.46462975819884","-1.00163035731175","-0.426957643449877","-4.38317419741089","-3.4492422853574","-7.0550621626464","-2.10653487648656","1.05084214646215","4.90050724998414","1.10602802953173","-3.1919001537925","5.74688646851072","-2.7294417592338","3.55440293160015","1.34940243105897","3.30627495702037","1.77609505244965","-5.84417671995255","-0.842986681004346","4.25218836803481","0.0760848362878814","6.41269638018515","3.06498897156895","-1.09876570294305","-6.84957706040643","-4.36425910710252","-9.11809045602798","-4.18215935950403","-0.313246651821029","-5.36680935582068","2.21781035979262","0.401795572503425","-2.89089458391645","0.696555330604147","3.51526655585348","-6.61109107951773","-9.11927242404582","-0.525281103380283","3.32765406542155","-6.0066432905695","-1.32478093334992","5.40374056395964","-5.28570112480931","-2.39682890022621","1.46605201351048","-8.63057282943985","1.72581870339659","-0.190565738461192","-2.25862403764876","3.48442938314304","-4.93797366919654","2.81407616080474","2.63173671656976","0.933519486469089","-0.829506244368842","-7.76117122408505","4.56819400227214","0.469834772824994","0.684415767531747","-2.54625683978322","-1.81507904425079","6.1053879510022","-1.96018215408427","-9.59396088027244","0.905557943950324"
"Random_Index27_16_0004","-3.04563298432751","1.99928900839948","5.39242517747353","3.02048731327758","4.84533124201666","2.12968769121878","5.19998272430068","-12.802197971449","-2.90687885849279","-0.0808414659786652","-3.52177625046819","-0.982682859169592","-0.303342229043486","6.88547632201734","-1.39213791919703","3.14968680357766","6.10915031423305","-4.94705333763939","0.470057086162272","0.884666852309875","-4.52094183868502","6.8133163793588","-1.86310799444002","-0.0104174596948117","2.24704873097944","1.17431652519247","0.261407947081812","-3.60925264750888","-0.552390714856064","-0.7738464122747","-3.82838990375612","-2.89705392041837","-4.11889606284077","-3.22957229807647","2.96132183117586","1.87839405344588","-4.39315162143133","-3.30977517980638","6.8295842108731","0.0399586753552594","3.15533897752829","1.58490144997616","-1.21753486275526","-3.44038310053555","0.0588189580257842","0.858587701674801","5.03075069315356","3.120647873162","-1.92442173615681","-0.748005739282435","3.57992757692485","-1.03974605909577","-0.551321534759028","-4.43803941725168","-3.46774045531181","-7.02936044657903","-2.01847119316849","1.04333701869082","4.92743794061608","0.98256406523274","-3.21299819904052","5.76378698260631","-2.72444410434491","3.67184155793084","1.24174783839342","3.26701274663321","1.7083610295622","-5.77733074130276","-0.837681223905095","4.28740520425284","-0.0122898430104451","6.43148642305171","3.10739408365451","-1.10339017059409","-6.93310531689549","-4.37235757554622","-8.99231694895815","-4.18041847044851","-0.376179747268154","-5.25737563624797","2.33775573878587","0.290993415660081","-2.88526417960189","0.740572577532986","3.66038231135592","-6.62852033296267","-9.1491898544179","-0.576581708615421","3.33808994064155","-6.07148115548036","-1.23053199862607","5.32639140451401","-5.25619386593276","-2.36250232972647","1.44449602728749","-8.59916391598071","1.73539323211147","-0.351700759888178","-2.35042499384101","3.45272148134393","-5.00951597677152","2.8258144908457","2.75786762688504","0.835532251630011","-0.9178724692343","-7.72151746691701","4.59244566865278","0.378482901540094","0.738397197917361","-2.5097749117625","-1.75284527838604","6.14540275518653","-2.01254698764527","-9.48676846803206","0.89467500592779"
"Random_Index27_16_0005","-3.09423043581327","2.06409822648097","5.49993427021741","3.04466092111011","4.9255869143493","2.09994956189813","5.21937176307587","-12.9589019465877","-2.97272791849439","-0.160644895838973","-3.56815907205941","-1.00780837550678","-0.391046093677419","6.96437542139943","-1.39722216044372","3.19146299636781","6.2275440254231","-4.96124023286879","0.439149364007948","0.997382890329568","-4.50481787554835","6.86089399292308","-1.95041734388131","-0.0120410612034706","2.19761097506129","1.31224365672252","0.384472732407283","-3.62115294007146","-0.578940390876491","-0.85804218575714","-3.8910386515459","-2.96192946307097","-4.08446711442016","-3.16301386525726","3.04202531005956","1.91596414727268","-4.43298832215632","-3.29810503151458","6.97492207624322","0.140594893356041","3.26333032525459","1.54519422416331","-1.20146124174094","-3.54199927073352","0.0481659110760231","0.85946687014388","5.04882693428494","3.25958454053788","-1.99019927694316","-0.771714507375285","3.54665251870542","-1.09857105680036","-0.551095281983565","-4.36770873174558","-3.48529721791918","-7.16780272202646","-2.03716906306108","1.11079559319857","5.04883437143608","1.13092049335799","-3.22584874816997","5.78677131054337","-2.84436514686511","3.67061301614891","1.22259057641658","3.35599201148454","1.72017957580534","-5.80007114191664","-1.01984891050001","4.35504163339238","0.0794395038726584","6.53355608285122","3.08843307628344","-1.06648022256292","-6.98570892600503","-4.4535676746426","-9.07456816866562","-4.24033517070898","-0.325600717043708","-5.38966019276571","2.31791198113111","0.272252103158891","-3.02652773517601","0.807373082941084","3.66611403244191","-6.76795089917288","-9.11069016662252","-0.520122136921629","3.41144278776963","-5.85013408977701","-1.23462933406417","5.4361324855093","-5.19877050784041","-2.33083811131188","1.51691562988858","-8.61075637276086","1.72414272451146","-0.314156810431857","-2.30351258464575","3.50152634472921","-5.13102201798238","2.84088338792769","2.79731768009035","0.812109068616607","-0.786813208687213","-7.80641507205439","4.66588009389902","0.342518770581925","0.678008848605409","-2.5205787820505","-1.76820625057893","6.13384296551823","-2.02520324058945","-9.59727513128737","0.848511067847561"
"Random_Index27_16_0006","-3.11335654776006","2.04601356102952","5.50471001746757","3.09247177319403","4.77433021885964","2.09613393732858","5.13295535825346","-12.9566707470019","-2.82053526261704","-0.184441437407974","-3.56682915399843","-1.06803529263119","-0.455962984721854","6.83795022457039","-1.405994912929","3.00474289343658","6.15655737307297","-4.8467803275659","0.411064771914662","0.797269049561789","-4.42612940824151","6.71659938518494","-1.96628781425357","-0.107077741426611","2.31474613788602","1.07109925755974","0.215232981161854","-3.64723338001667","-0.529688743730252","-0.869212784975105","-3.77495913648562","-3.00188556457184","-4.12938708431995","-3.09372740923196","3.08337019874665","1.85628951216561","-4.34949178085668","-3.2413320643708","6.81100562472317","-0.04834588484731","3.21749727729919","1.49907591321831","-1.27092264010528","-3.43471018940683","0.101135823884386","0.90917830883166","5.04512555155135","3.15775277746899","-1.99662221238754","-0.647259051942248","3.61976759484329","-1.09285702149805","-0.584525417227096","-4.42139388202618","-3.63209193261908","-7.128062833561","-2.10393051992314","1.25208598288515","5.03930315603657","0.99703987462257","-3.12638963726987","5.83672643281536","-2.70471888113051","3.69619632311269","1.15250273099329","3.35041155163939","1.54585191664369","-5.84970179857128","-0.875476790988112","4.30990035717777","-0.189211528427522","6.44740322308189","3.01086798802229","-1.26885600471087","-6.85564034687421","-4.41665830450343","-8.92007210084558","-4.03882039948365","-0.511001783703138","-5.21368085745503","2.35458451580149","0.190283881273808","-2.93242335127196","0.681007507123112","3.63389239997093","-6.53812658261462","-9.25173367644486","-0.58001408688657","3.47627580226783","-6.03303313666241","-1.0930186424988","5.24221409035525","-5.0929834387336","-2.30035437043294","1.3748741341239","-8.57031449775127","1.61890527330301","-0.274027034269841","-2.43594798674142","3.54241154259855","-4.91632224309773","2.92472937786045","2.88196309481029","0.76182111984408","-0.997483131943253","-7.4520424719589","4.67368400672241","0.271452527819165","0.798317627671986","-2.63759834310353","-1.61909521573547","6.18505991490686","-1.96327758983756","-9.3895633120029","0.791924867964037"
"Random_Index27_16_0007","-3.06565870098696","2.12816687731022","5.51236132285585","3.15992140691767","4.90054573075547","2.02757620676826","5.20816440832897","-12.9660090957939","-2.9182172442753","-0.193623479156037","-3.6656789408597","-1.11296381641062","-0.401311648125831","6.95210480729814","-1.4511315844835","3.14643385638662","6.16824677004079","-4.8896013074391","0.331253592212545","0.955160099249661","-4.44859406364203","6.84867697600816","-1.98757472705387","0.0752631666973646","2.34000334606776","1.15367243384765","0.364549003381008","-3.71488060377558","-0.48536337110303","-0.929575398098373","-3.88503809002149","-3.064333376951","-4.08633695072499","-3.10687010450257","2.96959746718766","1.83984564947391","-4.32302040922322","-3.26537445289431","6.92475708092319","-0.0196654897524805","3.24359313568075","1.46537258036138","-1.30408579328493","-3.5710614469143","0.167586263155941","0.925173707681501","5.11135005186526","3.3003232324376","-1.99980336521542","-0.624758740431645","3.63312105855493","-1.21476149528165","-0.655044063770418","-4.45003405525078","-3.54723404171114","-7.14546715320664","-2.08490189643235","1.0317535187529","5.05853723797668","1.0506689798754","-3.17988976307682","5.84024990033308","-2.77708002638765","3.72039033670492","1.12627404538288","3.23070230529143","1.68457391440626","-5.85278011268567","-0.908474406475395","4.4062782330819","-0.0107356432843914","6.52626247558224","3.16742260109294","-1.13616320632813","-6.86719534734613","-4.47854013830189","-9.03730836253482","-4.09174485389018","-0.535065763377755","-5.26298974605847","2.41619038616893","0.242881390010391","-2.92734306881768","0.864225362054644","3.72573765362273","-6.70390808795873","-9.19082414699949","-0.673726789697482","3.46867906830205","-5.89300405668486","-1.09058273201515","5.4062626526504","-5.07094117602041","-2.22548842732517","1.48648871826464","-8.63471256194944","1.76577232438148","-0.432570376424901","-2.31357484824569","3.41421475761964","-5.03752948790622","2.85389656828088","2.87350467806201","0.713550142933864","-0.896849183776943","-7.67603812720563","4.72055717635216","0.27637054545726","0.829282961392038","-2.67703326382981","-1.63575765115249","6.26190619977766","-2.01971107315272","-9.56877727206469","0.823013018120839"
"Random_Index27_16_0008","-3.01079661594555","1.99783800266112","5.42563424055398","3.03495671266862","4.79174835696844","2.06825848651341","5.01669976010912","-12.8456237668057","-2.88658230597135","-0.0684186434027855","-3.5228036489311","-0.924959585466353","-0.298188558239153","6.87992178614272","-1.3320648482995","3.20220271376344","6.07193458912444","-4.85101059421963","0.403485505296303","0.991582245309662","-4.40175408330476","6.74714961473434","-1.90084755890912","0.0571040157050018","2.20244544369015","1.18999470534092","0.293180622168176","-3.55927329819387","-0.515702894178029","-0.734203008441881","-3.79971267302143","-3.00830845111806","-4.02305776301466","-3.15141393735909","2.93380375418776","1.87698764582987","-4.38747699470467","-3.34341697904829","6.82364284539973","0.0211243879874571","3.18671800567175","1.5980916370665","-1.1638740584621","-3.43183319605446","0.0560609228559831","0.72167023158864","5.0475435448249","3.1299579459629","-2.06614987314458","-0.696535389643622","3.51678038101062","-0.992622700290815","-0.45404591422141","-4.37272961840341","-3.47966701310095","-7.0199374274332","-2.07998382778156","1.0710089929278","4.90150307359275","1.05673731924048","-3.18418674179954","5.74170797413656","-2.73518850064633","3.61643946578882","1.20721599820549","3.23641826092332","1.67163370277237","-5.69573305628334","-0.819510440155722","4.29391798870636","-0.00168008446566237","6.50438104811711","3.09381733497435","-1.2394317828162","-6.89346420259261","-4.27876881399123","-8.96960688875036","-4.11898587195154","-0.461516448087729","-5.25317193170623","2.30702528280006","0.265604977265635","-2.97812837043897","0.723677652146543","3.58326731623729","-6.47660172224903","-9.0480600777284","-0.526668766675557","3.39477959997149","-5.97984697976731","-1.25677939032515","5.3077995588858","-5.14824991752403","-2.25152594426824","1.50788900960599","-8.63554785308405","1.74794989464506","-0.291808883187603","-2.26193780689434","3.42485364162816","-4.90922135967559","2.80050866042994","2.75839629045049","0.760354199294558","-0.906314595479623","-7.50269141417444","4.5789199919496","0.30870464129248","0.791072405313863","-2.43453715399552","-1.69144748049833","6.08271845460464","-1.98389627251842","-9.35448000393381","0.793581051343848"
"Random_Index27_16_0009","-3.05226614482657","2.00901381734871","5.30810226610452","2.97026425337327","4.77044793294431","2.18957214147333","5.21055193689044","-12.9283998371589","-2.79128911720632","-0.0298708932578239","-3.5272766105552","-0.925291183200212","-0.335126607259984","6.84666831977427","-1.31788733182426","3.17544145968192","6.14062472346114","-4.85365346826269","0.408287671395633","0.895442337363017","-4.54823900843603","6.73612592658734","-1.87379165945021","-0.0364510970519156","2.21087680731045","1.21319622784062","0.357326148470737","-3.5502023467639","-0.637846674334115","-0.73425036043611","-3.75775034531814","-2.94372996385949","-4.02487806759406","-3.20611045612112","3.02253318029432","1.97894066491499","-4.3965150573422","-3.17931668577762","6.82126504374802","0.135907949603599","3.10485998121401","1.6356827521711","-1.16955452981762","-3.41903994991134","-0.0118664684594129","0.837258660449394","4.92112889988079","3.11162396576132","-1.99643877517124","-0.754052815298072","3.46920541919282","-0.986571844853108","-0.562235696051431","-4.35291618734609","-3.50280776917276","-7.05515674468082","-2.08466886828538","1.14114784642667","4.82981730780935","1.0050290831685","-3.13350312034665","5.61198828332829","-2.58234692391053","3.55343342505876","1.29798116316642","3.29965819764346","1.73132693593948","-5.69559252802754","-0.907388911008707","4.28710639523773","-0.0977922823846796","6.43433332292893","3.06302490831732","-1.04477834349046","-6.93159888393986","-4.37206606447635","-9.02963686205428","-4.15107316655913","-0.292584661950973","-5.33553820444311","2.25835841474841","0.379992424405994","-2.79459407513282","0.77174550599944","3.56076475176061","-6.52050071758024","-9.09469424309885","-0.50686333492387","3.22231370024249","-6.00136204043166","-1.25969680728447","5.2933819461404","-5.31122760158713","-2.32855165375324","1.5157335524006","-8.59841562107506","1.62315073854388","-0.270123920655706","-2.39673106910833","3.48339725309583","-4.86302597556684","2.84940454277383","2.68375496905251","0.881565421384652","-0.87729533644692","-7.58445317756065","4.60849838924592","0.457904276999635","0.623666052334353","-2.51436845854199","-1.83287120584292","6.04819632953597","-1.97007241465868","-9.38556828370541","0.942205466700137"
"Random_Index27_16_0010","-2.95129405088916","1.95894347095971","5.44166466713183","3.02216469339827","4.86162613139179","2.06708162298661","5.20755170635453","-12.8776676115886","-2.83559858268586","-0.0111334764533427","-3.51256316223446","-0.968228625219421","-0.318624382291565","6.83990486542327","-1.28030341395389","3.09486888923455","6.00722003894932","-4.92563972251254","0.510485888044514","0.838788255788761","-4.36538832559111","6.69348520069292","-1.869340922776","0.00905336582176312","2.26770415917448","1.26562835470584","0.295548428131889","-3.61328980181984","-0.448145237436621","-0.751637414708886","-3.76570768615315","-2.90507704590282","-4.04951063435577","-3.32195433308145","2.96662781295682","1.8855600946047","-4.36847254801702","-3.28692425550048","6.76386386006783","0.0119596092316497","3.08525957792766","1.58998374505967","-1.18875291751518","-3.45500395795771","0.0387318300541011","0.84001621943582","4.93382085681495","3.15641525825502","-2.02386100512178","-0.666794449744291","3.50446184476112","-1.07148113484408","-0.468484979865797","-4.41768770041697","-3.43625140464298","-7.04762625287682","-2.04552290749775","1.0717871711768","4.87929648038388","0.984895670887155","-3.12637543632038","5.75012076195248","-2.72342120184867","3.54987132686784","1.20595478751509","3.20514052507898","1.62746425875013","-5.71365861528313","-0.752427613406403","4.29201670703215","-0.0335748108540994","6.3780392055202","3.07805771965462","-1.19242272549685","-6.86463111304225","-4.45172337125645","-9.0608117437905","-4.08170572060296","-0.361654470077985","-5.30999036138267","2.2804877997447","0.251259246429988","-2.95049048071368","0.703714487977265","3.56261421415288","-6.54042022182748","-8.944691816077","-0.461179860764177","3.3413414513605","-5.96206952561715","-1.18548383068469","5.28796448839595","-5.22005182543658","-2.37222453850803","1.34225725814699","-8.56552580842397","1.70040619822127","-0.293223049864421","-2.28432649817873","3.42798901500069","-4.98538313921552","2.741646126977","2.76097005455585","0.781366050263007","-0.96702450041608","-7.56125871231476","4.65499220634581","0.377535148372517","0.749986151940771","-2.44708104554636","-1.74798545466801","6.18865600002025","-2.02668622218351","-9.50847897019699","0.804515462518255"
