"Run","GSM1402321","GSM1402322","GSM1402323","GSM1402324","GSM1402325","GSM1402326","GSM1402327","GSM1402328","GSM1402329","GSM1402330","GSM1402331","GSM1402332","GSM1402333","GSM1402334","GSM1402335","GSM1402336","GSM1402337","GSM1402338","GSM1402339","GSM1402340","GSM1402341","GSM1402342","GSM1402343","GSM1402344","GSM1402345","GSM1402346","GSM1402347","GSM1402348","GSM1402349","GSM1402350","GSM1402351","GSM1402352","GSM1402353","GSM1402354","GSM1402355","GSM1402356","GSM1402357","GSM1402358","GSM1402359","GSM1402360","GSM1402361","GSM1402362","GSM1402363","GSM1402364","GSM1402365","GSM1402366","GSM1402367","GSM1402368","GSM1402369","GSM1402370","GSM1402371","GSM1402372","GSM1402373","GSM1402374","GSM1402375","GSM1402376","GSM1402377","GSM1402378","GSM1402379","GSM1402380","GSM1402381","GSM1402382","GSM1402383","GSM1402384","GSM1402385","GSM1402386","GSM1402387","GSM1402388","GSM1402389","GSM1402390","GSM1402391","GSM1402392","GSM1402393","GSM1402394","GSM1402395","GSM1402396","GSM1402397","GSM1402398","GSM1402399","GSM1402400","GSM1402401","GSM1402402","GSM1402403","GSM1402404","GSM1402405","GSM1402406","GSM1402407","GSM1402408","GSM1402409","GSM1402410","GSM1402411","GSM1402412","GSM1402413","GSM1402414","GSM1402415","GSM1402416","GSM1402417","GSM1402418","GSM1402419","GSM1402420","GSM1402421","GSM1402422","GSM1402423","GSM1402424","GSM1402425","GSM1402426","GSM1402427","GSM1402428","GSM1402429","GSM1402430","GSM1402431","GSM1402432","GSM1402433","GSM1402434","GSM1402435"
"Random_Index27_24_0001","-3.20262816669684","2.14567296217192","5.58102523694279","3.12389018572406","4.76469663571667","2.11223557841104","5.14874632883338","-12.7041270010886","-2.76904669866729","-0.324917614466639","-3.74301990302595","-1.12333305924543","-0.537100529923968","6.91152224087242","-1.50757173021975","3.0497103127053","6.49873637532292","-4.57010839941209","0.25947206968112","0.818256287043928","-4.29648551442126","6.85727371123968","-1.96097353328406","-0.0188405622191678","2.25240442836779","1.14800260576062","0.413702732782346","-3.79361394048527","-0.611906282401394","-0.956074140851826","-3.73311818481913","-3.03921342760996","-3.92691832548916","-3.05650578947985","3.17603250677386","1.69245743516766","-4.09016016669081","-3.01351235145861","6.99431940752777","0.112046389117585","3.28822546388538","1.40887877497398","-1.26460514625941","-3.61003505656296","0.175891844038207","1.15933688529912","5.05002708441297","3.41470791073068","-1.82354304106954","-0.513807411820965","3.41440179275246","-1.37547543134503","-0.675034502810394","-4.60364883010497","-3.50459756880353","-7.08199397570491","-1.90737964600192","1.24501157868027","5.09936940606897","1.00435006844202","-3.01252634218098","5.94073604482519","-2.87300795056017","3.63231579588112","1.17527690405824","3.54634231968085","1.68378999479874","-5.69022851852002","-1.00532372315086","4.29807239295192","-0.233910464646037","6.66374893515286","3.17497896081374","-1.16520377336817","-6.78574619224712","-4.62558992788666","-9.02791339118045","-3.86511353330123","-0.299852696878337","-5.2020399870497","2.52699056051062","0.237457615729835","-2.94280008963017","0.885530869598095","3.78454346210206","-6.75579764909676","-9.20642253926528","-0.877234804538805","3.48482081644372","-5.55521805075808","-1.16513496017738","5.41634803909825","-4.89462312364404","-2.17242092834713","1.38277679784281","-8.43181907427981","1.71697734270219","-0.365495348142864","-2.19256334044676","3.47492792534403","-5.00575213286721","3.03098602292474","2.89849861014414","0.747596892009503","-0.741389125082313","-7.6464895002195","4.74415617945521","0.302354608993791","0.839144331286442","-2.71916392407312","-1.73930832104538","6.31062802453322","-2.09978150001158","-9.58373787668629","0.947632304489625"
"Random_Index27_24_0002","-3.23448673565816","2.11624418972039","5.60281102233274","3.10328474782609","4.8525189407264","2.07836319884627","5.22332461064515","-13.0301404600699","-2.72071687794574","-0.435274357590965","-3.89611185499041","-1.41249069827655","-0.720428409839117","6.88748189086871","-1.5217913847148","2.95628102952636","6.39209991600462","-4.77119178998108","0.115480794106529","1.02944670363189","-4.26405348889972","6.73914919143656","-2.20238998751275","0.0439998567198494","2.35267464092433","1.25239924356189","0.573225399028536","-3.94110189720227","-0.436065506258216","-1.10356228781819","-3.83548181310378","-3.08159838037478","-3.94612034701055","-3.07933097537362","3.1635455285161","1.68981523747324","-4.26485788751274","-2.94710094261522","6.94323899581275","0.0462385652483968","3.26976045334233","1.27437210414887","-1.28822777354855","-3.56801010426905","0.0677680919313255","1.28669822513753","5.03476838421901","3.38337931900146","-1.6875227659503","-0.622482913001211","3.41069503854545","-1.62953005960717","-0.825007927825356","-4.50126906089086","-3.57919440190655","-7.0777013819368","-2.05513174310829","1.14002425533567","5.10920253963815","1.49662352842023","-3.2640340537648","5.98121675322468","-2.89621170059315","3.60734899921449","0.982773554171724","3.47578113337128","1.54483859271626","-5.67486484832312","-1.27820187352127","4.32581493496012","0.0352507102961223","6.60159376353628","3.22341007983999","-0.988385761906251","-6.68169536767897","-4.65875219362178","-8.77923056607906","-3.97401108892789","-0.370320008267171","-5.34152526513469","2.35205572166802","0.118201721399576","-3.06237764083151","0.932490933504514","3.63598635957693","-6.82570653259385","-9.18634855525603","-0.809114526662052","3.58853050332334","-5.34503049558855","-1.15826858804846","5.46685208645192","-4.95657141206402","-2.26265572700059","1.41496394516271","-8.22518441515415","1.64067521375174","-0.350649970422445","-2.1718330423496","3.431532807811","-5.09653550179422","2.89438542120546","2.80390459800651","0.72904386803097","-0.588342221700854","-7.54652254669875","4.7718205528584","0.1373798631954","0.826795589986616","-2.63214634845649","-1.61878293637427","6.3034285918236","-1.99532437577728","-9.68205514887913","0.832485399312465"
"Random_Index27_24_0003","-3.12741275310649","2.1296860334041","5.38068154844852","3.0097099345493","4.70847923202744","2.03204137897546","5.03231785832773","-12.638236837811","-2.77301672090127","-0.23173611398517","-3.70361276160625","-1.05906799771159","-0.420980019181781","6.81267185598438","-1.2671339280867","2.99903786372456","6.0936753187552","-4.53300508324472","0.330149277214379","0.684819483611741","-4.16527401892669","6.77568774699608","-2.03025394263428","-0.0464449314937486","2.24080503468346","1.18339852022086","0.427874239286005","-3.69874283779972","-0.669822386480734","-0.967139798778451","-3.82130368279665","-3.03678852214454","-4.01887445894061","-2.94464943212127","2.8690956871478","1.65134025293334","-4.0053258748453","-3.10590982127558","6.94664031184535","0.0863804752078855","3.16709593390427","1.31223175734577","-1.26608296499249","-3.50320618364756","-0.181457881326485","0.70369972364326","4.98624058709831","3.19314999930917","-1.99424986260403","-0.722949944731902","3.56051922835633","-1.22644143289998","-0.678951242969552","-4.47464076551329","-3.47146666420143","-7.01014192689424","-2.25006713039175","0.876459030415093","5.0089186829483","1.06915511007171","-3.02022321831759","5.75321691907554","-2.75573551459829","3.56858567710011","1.17246852105841","3.16823597333784","1.7847261186242","-5.57337051046895","-1.07602492878645","4.25660893427097","-0.10906272744491","6.52034155411654","3.12978701211758","-0.979141464557044","-6.8525718045662","-4.25567598559665","-9.01241280715267","-3.86349418150064","-0.3129630145068","-5.11355142578947","2.35786609707798","0.199738848937664","-2.98066266753512","0.552161999157038","3.59121318196865","-6.55511116531324","-9.02486604934156","-0.585223113008562","3.38739677820767","-5.46715972537203","-1.23229430049594","5.11671520834654","-4.83627037459535","-2.5079033541962","1.3639190104844","-8.32415067616458","1.69283737528375","-0.313343472292577","-2.22456238250399","3.200974364024","-4.88842036771545","2.68602733486402","2.7814136863091","0.797858512317267","-0.623453740876908","-7.38071825181364","4.60374408530307","0.265909958253177","0.982244103345552","-2.6550462200985","-1.52332804196859","6.1520271641419","-1.83948421391368","-9.50252356763347","0.789943421017408"
"Random_Index27_24_0004","-3.12655153203813","2.31665401952139","5.72232141222203","3.41854189328652","4.91593377386977","2.06847297455301","5.06991864088534","-13.0487379733813","-2.94164253426236","-0.431783193167899","-3.75612547082939","-1.25077532538236","-0.68307100645182","7.01791509492688","-1.43293653968102","3.09348229646473","6.48179295714345","-4.75469091721685","0.160991497992269","0.916227175530661","-4.38274962299133","7.07858962080661","-1.94761942272189","0.138617745229757","2.28377882260604","1.08691249277824","0.371470468683808","-3.75348256927654","-0.478920451614084","-1.07975886284856","-4.01293391707915","-3.12017577531111","-4.18791993126441","-3.00689758167406","3.2607761608353","1.59447088093902","-4.34088690817152","-3.04782940761878","7.29340667239807","0.0513132444849813","3.52912590341215","1.35819265261278","-1.21289250868297","-3.48453867312594","0.0863362339284225","1.21972738289849","5.27932704194118","3.62255961757918","-1.75428108586829","-0.538170203569772","3.49036107033473","-1.39274968341524","-0.807965252730305","-4.51134178909472","-3.79516806248553","-7.21754711656964","-2.08101960229906","1.25485850276235","5.27042102082567","1.12043925810551","-3.24299565288638","5.93585249963571","-2.83966987709014","3.81297112943459","1.02306091534291","3.4023881163046","1.44143783086314","-5.90565191805017","-1.16790949337367","4.48923707049513","-0.170289253389051","6.77456329635676","3.28251423275231","-1.04769040379682","-6.87035096581845","-4.50170195947292","-9.07241589158551","-4.03341745208845","-0.467748972341472","-5.29704118532484","2.55033391489992","0.175252446668335","-3.07617092508537","0.983178262191779","3.78808827282668","-6.70551826483047","-9.45134683568016","-0.825339628111043","3.65317748039244","-5.53966903190421","-1.06303685667129","5.41136712356971","-4.91053632904556","-2.14218371411651","1.51427796062045","-8.59963431387056","1.70998847059684","-0.494563389990602","-2.34878502882785","3.64364622760803","-5.07504597080742","3.02254564350914","3.06688912348338","0.792454099996064","-0.676647307561154","-7.57736150575995","4.78139996004825","0.298508510193544","0.869121297161753","-2.82822801746756","-1.55977118853614","6.407528069916","-2.0484954898061","-9.65103149119476","0.840209449553221"
"Random_Index27_24_0005","-3.1368907361283","2.17324559426537","5.56583480746036","3.13730851452624","4.88378853245541","2.067607807999","5.17940696175023","-13.0414995135013","-3.0330740254057","-0.228200435676677","-3.65619395830093","-1.17892071402163","-0.596674482868676","7.20148676782693","-1.32532559516653","3.20881991028329","6.45973015170503","-4.66730927269299","0.286345956516502","0.934488439972107","-4.45655931885555","7.06344407269885","-1.95907070966202","0.0752246287806623","2.0579650339183","1.25724839355005","0.533956904519513","-3.7326087166519","-0.570471247824272","-0.94084561180045","-3.87043880224683","-3.07528155500969","-3.98902105549324","-3.26245143799497","3.22206344109588","1.67336551458306","-4.38197770960942","-3.3867046200033","7.12289546941899","0.163986700158328","3.29631477710496","1.49246136744426","-1.06482956323261","-3.53727488754074","0.0274491926529458","0.984088482190656","5.14754387676667","3.31172458659324","-2.12058231435721","-0.804998776744247","3.4839475882832","-1.31592741534496","-0.631285309336176","-4.58579690563283","-3.619460124475","-7.27489535643719","-2.22233393260075","1.21739020538088","5.19359998089256","1.02043170256246","-3.20929118748457","5.78308469625603","-2.81589384235656","3.81446777805492","1.21427442610358","3.45965874341665","1.62707420624606","-5.79657797953357","-1.00151023071029","4.57643054083808","-0.164804888835588","6.75713990310617","3.23192840114948","-1.04485575819762","-6.96254458441045","-4.71846243168111","-9.19818859866721","-4.21246950511645","-0.372369773558289","-5.36821623274486","2.45479186860216","0.316823373397357","-3.00351037982198","0.836020067645081","3.78568812022048","-6.81823708524617","-9.14211544822825","-0.664870449976481","3.42367622055188","-5.61691476050595","-1.2393919090672","5.43984289459306","-5.11606167951417","-2.35850742330421","1.47810115245507","-8.5959309853669","1.6816047901411","-0.316845943153202","-2.22191954532979","3.62898407081265","-5.14886415069077","2.96677519381055","2.88014074312259","0.843522692454499","-0.667959310005545","-7.88505326847818","4.72058730847262","0.321979630055044","0.699807424603505","-2.65719092264685","-1.73913385435892","6.3771908795049","-2.13361711170962","-9.68634952738608","0.894037550698563"
"Random_Index27_24_0006","-3.09792356437352","2.22707115009848","5.74324616087308","3.22339466857039","4.93355714406807","2.05193731509761","5.18760255197427","-12.8576250730298","-2.59060121220829","-0.421585025393722","-3.89483328063454","-1.31819274717153","-0.70878999416057","6.67418558878545","-1.58810072246706","2.98997164661495","6.19432459045055","-4.756190887977","0.166263347502607","0.767583505184364","-4.28800005426372","6.73326279141386","-2.22727453813798","0.199585232174429","2.51269430697949","1.02786321294764","0.337561432073341","-3.98379117032001","-0.414207185283299","-1.13925938730117","-3.93941971934445","-3.28012845166923","-4.10681607010534","-2.83819098918771","3.05397916485825","1.55178239541501","-4.09152334532093","-3.06603763159408","6.87310546819771","-0.136500720840254","3.45089999835137","1.22965381184707","-1.34827528173744","-3.74503761843433","0.194475091796248","1.07759762792263","5.22517539518028","3.39445693137431","-1.69985848668681","-0.4598539013842","3.51534155898388","-1.45552524343579","-0.930176407919014","-4.46033204203832","-3.48213323680067","-7.00590999585431","-1.95364300726283","1.12771413716633","5.21918218859429","1.32401386819084","-3.09072428142875","5.93069577208363","-2.81792265669415","3.67302931533021","0.864893157177957","3.21349299666964","1.41119310832326","-5.79504298879783","-1.19370174004883","4.40376710985775","-0.135195614989508","6.43127470366095","3.37412393942313","-1.12566832228564","-6.67697447183565","-4.55695729629169","-9.04013087196851","-3.81990304810437","-0.41417963549625","-5.06025938707687","2.38803799608901","0.149187542991251","-2.99956508468189","1.01506982067442","3.62154937507483","-6.57652668340802","-9.21597472993918","-1.09552570606281","3.70541298253057","-5.47417251222442","-1.00052483637023","5.39145845152133","-4.80461910147119","-2.25038323450185","1.39419883657862","-8.36481825309096","1.61024638457285","-0.43532607619714","-2.29529622094727","3.37875347652445","-5.12016327145989","2.8690709222485","2.83324834397628","0.574651545079195","-0.670822585497967","-7.54980779456095","4.74375367716294","0.134130310251547","0.83065894838799","-2.91026212522561","-1.53772810523491","6.24762816910551","-1.71493076109638","-9.63383746741465","0.734211758953189"
"Random_Index27_24_0007","-3.24550136271426","2.20560498728512","5.48658117139964","3.14695838930285","4.79519679780144","2.05182120331845","5.25348309503608","-12.8644856177378","-2.8534628064178","-0.337719634114749","-3.70375272300877","-1.21359424382018","-0.641505049471845","6.9115976332468","-1.42466724998007","3.05239826913528","6.24016204631405","-4.93357165253435","0.305040821000396","0.786852526316057","-4.37362739855219","6.86062994507273","-2.09042959163831","-0.0112323644618331","2.46946535247637","1.05092581399361","0.429821015700191","-3.83262897008576","-0.552075762305189","-1.03612285835009","-3.8158825847178","-3.17937627212189","-4.12846963278203","-3.0786778347375","2.99020468375935","1.61532478088633","-4.14200583511373","-3.15026360171093","6.93392718476786","-0.0792459719981754","3.38988168931653","1.41215709170941","-1.33783884074889","-3.5732853344691","0.20640384674939","1.08246636306128","5.15196561599325","3.42802818554581","-1.83625304954453","-0.615858927941335","3.50049657767204","-1.30021126921741","-0.742163919065401","-4.44103672965958","-3.64316302158917","-7.03291675117225","-2.11040494761508","1.02066269506246","5.19075318523248","1.25330547471502","-3.19776241375619","5.94471582064627","-2.83372892598174","3.70935901088501","0.946860591071969","3.40034464882489","1.52979892802535","-5.72023174104803","-1.06219550447245","4.43197755859895","-0.0650719370470313","6.61372799393436","3.36666971965236","-1.06518285131062","-6.70449423217046","-4.37588919903941","-8.90533117227575","-4.00376865597701","-0.385939169960638","-5.07766100920447","2.51288109213828","0.15871698504974","-3.07766089636697","0.816326363889215","3.69837551793941","-6.66034430354916","-9.16196419219498","-0.880107992120206","3.57932443859722","-5.57261213125042","-1.11266873055125","5.25166927592322","-4.85897002828462","-2.21143218858685","1.38913459279125","-8.38205587610688","1.67152327457849","-0.500185092076481","-2.21268116429544","3.36581637204378","-5.02322244526721","2.84193957417217","2.85803900934561","0.704411190476547","-0.802062704675409","-7.52456909542292","4.80797974687282","0.272918501446021","0.777976108091341","-2.7891798366641","-1.63809140216921","6.2959083954741","-1.96843494610897","-9.73244726576214","0.748316408944548"
"Random_Index27_24_0008","-3.21417275369264","2.09452020215846","5.43751210033524","2.9847359879792","4.72141734698922","2.21298493298083","5.25943616340404","-13.0774338020226","-2.67128849945073","-0.212982631367602","-3.70767058028622","-1.16369895814977","-0.484987110274397","6.85261606996879","-1.35986481694321","2.99124447791494","6.33976815750986","-4.5473045546883","0.275664502266644","0.776900059905353","-4.2962189047751","6.75365062358534","-1.97543167174695","-0.077073017571117","2.23771162337835","1.1873065957182","0.332268555819027","-3.81131818757857","-0.634571729049886","-0.919803259894441","-3.73096812342905","-2.96742954948591","-3.88098293896356","-3.03774117491511","3.1842770476226","1.76451325865014","-4.16337260322399","-3.09422646314836","6.86218337392426","0.143698198023366","3.21666990847464","1.43556611502707","-1.27005064527955","-3.49382091326131","-0.0117736024773195","1.04886510579747","5.01910150349569","3.32222844662319","-1.66767559061287","-0.689005236091486","3.35793119931566","-1.35690894516805","-0.580788717797823","-4.60684797906486","-3.52393726035054","-7.16456088989142","-2.14117781426791","1.22118077818668","5.05208509959355","1.26913413242367","-3.12575160479683","5.79418923791573","-2.92647076288365","3.56005517186448","1.1031956808721","3.43347269547974","1.77864773633328","-5.58558660981367","-1.11184100920735","4.28913429437655","-0.0049482574137078","6.56216373029203","3.21433467982492","-0.999499556851636","-6.70784025944815","-4.42804113927514","-8.97352153293574","-3.9462095835653","-0.380178024044289","-5.27760612082392","2.34357671920601","0.383188390925869","-3.05081145679156","0.725768230203063","3.57209798931513","-6.72293957152737","-9.1084424007058","-0.725029684330654","3.45247230387231","-5.42864163132277","-1.30498895926489","5.32055968569185","-4.91595225355661","-2.39891863667587","1.21693284348537","-8.39616045854101","1.59196744853198","-0.261573032028221","-2.0865671231285","3.42633619820843","-4.99234617774297","2.86689683577683","2.66676572646882","0.88555880745392","-0.656332271095881","-7.63346017037821","4.62618910284157","0.307119327995573","0.850524860362481","-2.7267678114454","-1.82036538176161","6.18211204735577","-1.95929153045129","-9.77708517758777","0.958554923462633"
"Random_Index27_24_0009","-3.08117309301434","2.12138471444374","5.54904552069364","3.27192911330774","4.87135588624237","1.97231610563022","5.13157173725395","-12.7972543897356","-2.94829306146428","-0.358808747517191","-3.8306295011035","-1.24971415633014","-0.714550435158462","6.83519640256317","-1.51663534667683","3.1752408623357","6.4149325233451","-4.6329861355158","0.208632869364007","0.909803584970362","-4.32951629446211","6.83528455707024","-2.12952565425203","0.146661158329227","2.34842965692309","1.14490739008281","0.471458170089585","-3.83123601620654","-0.520025984550638","-1.12275794771546","-3.9855957951553","-3.23591422092013","-4.0860140514182","-3.07472064491664","3.05990764319501","1.73740439034608","-4.50292834594315","-3.21869014367184","7.05509007072117","0.0223929051105386","3.40464904249417","1.21132187395116","-1.28418426089532","-3.60917687310812","0.212497671461505","0.982173973554749","5.11938542130396","3.3059444310497","-1.77827126882945","-0.585805103368987","3.43314708662546","-1.46461048513145","-0.871104392760282","-4.52800273569052","-3.66720883357114","-7.19437923259725","-2.12996319593018","1.08534608411685","5.14554038787774","1.09092450710621","-3.2455387188991","5.84676001359861","-2.83441357816635","3.66214134706175","0.974764612099358","3.37988477229509","1.52201742824918","-5.8432837502141","-0.99437205874889","4.36201222555115","-0.189210624709171","6.7073403061881","3.14493073713843","-0.933304854188826","-6.79253682793398","-4.51231165326172","-8.90153256831436","-4.11089827670246","-0.594982793337499","-5.16536814140764","2.4332572300582","0.0484530447498922","-3.1252688958679","0.970760960325392","3.8234785022686","-6.66289636922699","-9.21290767788699","-0.879137313806081","3.46972062401621","-5.39236536308374","-1.15576953905168","5.34446502809283","-4.96603784194353","-2.02281709004296","1.47041319118993","-8.27172517462179","1.62528100169979","-0.49095144942715","-2.27420335054958","3.4063760958223","-5.06978084892474","2.97497315287162","2.89484417435955","0.794653230173474","-0.668995184532837","-7.57215953509571","4.76898015766031","0.0976273730393429","0.647999457269032","-2.65266807687743","-1.65070187350452","6.18472276120927","-1.96509764669926","-9.53321609229372","0.738418230115732"
"Random_Index27_24_0010","-3.19838997103868","2.1046560445961","5.53499976370148","3.01262359270842","4.73648968420877","2.17709477345385","5.17063106841059","-12.7740521855462","-2.67335544808434","-0.335198048792068","-3.74742181493299","-1.25139571085644","-0.545889173128256","6.71367158702995","-1.49296952665878","2.88536899766725","6.30041313272462","-4.60392784606931","0.221489447565933","0.809054804122293","-4.3587947483389","6.68631451082959","-2.02686132304101","0.0415284094246843","2.28862502219417","1.08068379069561","0.260201463785687","-3.71628868004974","-0.719252963657792","-0.990829396435538","-3.79577088722776","-3.15857459553326","-4.1488381199779","-3.01133682998911","3.12094782294926","1.5997215393135","-4.13909886031916","-3.09885194151266","6.83689117464636","0.149980917323685","3.32047049719373","1.35577277132193","-1.31799378549988","-3.53171111075672","0.114578612386894","1.13685781730961","4.97047830544513","3.28279210292811","-1.7115263088604","-0.560791734235119","3.33277289230381","-1.31598773470554","-0.761436823868089","-4.55721425662684","-3.69365607117624","-7.10109157210334","-2.10188636170526","1.17068553620769","5.07745632088676","1.0965823712592","-3.07925034769904","5.84387666376259","-2.77362337342091","3.65177729471572","0.971569973586259","3.45328434688988","1.65825482146863","-5.75099749517998","-1.07086951635576","4.25671608151277","-0.254308845369567","6.53126225706817","3.20417080644216","-1.02668704022849","-6.66213685268885","-4.4701629160137","-8.97111213760637","-3.93607625061404","-0.425476596645399","-5.10736126207854","2.41562821104705","0.200587082468754","-2.9516584162798","0.830767047672448","3.62768092441047","-6.67776213072171","-9.16121436946673","-0.811095313519319","3.50371863660378","-5.60588527848059","-1.13394409725564","5.30347336794116","-4.85606813110636","-2.26963266726463","1.25919564379287","-8.51370519328535","1.59962660016297","-0.347221877279051","-2.34018868090538","3.4507824051938","-4.84902268604145","2.9105531791513","2.81556342651043","0.840439415770273","-0.722937067667977","-7.49990621095296","4.62110290216587","0.281122426149853","0.719478711283159","-2.8567818449922","-1.53890639871685","6.2059208740507","-1.95088097212573","-9.46188877209515","0.969181790851944"
